ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-27_16-25-48
Critic FileNotFound when load_model: output/2022-04-27_16-25-48
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  2.72e+06    50.50 |    0.00     0.00 |  127    0 |    0.12    -0.11    -0.09     0.00
 O  2.73e+06    50.50 |    0.00     0.00 |  127    0 |    0.11    -0.11    -0.11    -0.19
 O  2.74e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.01    -0.15     0.16
 O  2.76e+06    50.50 |    0.20     0.60 |  127    0 |    0.12     0.02    -0.15    -0.09
 O  2.77e+06    50.50 |   -0.35     1.15 |  127    0 |    0.14     0.03    -0.08     0.09
 O  2.78e+06    50.50 |   -0.50     2.18 |  125    7 |    0.11     0.00    -0.16     0.34
 O  2.79e+06    50.50 |   -0.15     1.82 |  127    0 |    0.16    -0.16    -0.13     9.75
 O  2.81e+06    50.50 |    0.05     0.22 |  127    0 |    0.13    -0.12    -0.11     0.28
 O  2.82e+06    50.50 |    0.30     1.10 |  127    0 |    0.19     0.03    -0.12    -0.16
 O  2.83e+06    50.50 |   15.85    66.81 |  124   11 |    0.08    -0.09    -0.14     0.31
 O  2.84e+06    50.50 |    0.55     1.50 |  127    0 |    0.10     0.01    -0.10     0.00
 O  2.85e+06    50.50 |    0.25     1.26 |  127    0 |    0.13     0.09    -0.10     9.00
 O  2.87e+06    50.50 |    0.35     1.15 |  127    0 |    0.11     0.09    -0.13     9.75
 O  2.88e+06    50.50 |   -0.20     0.87 |  127    0 |    0.13    -0.09    -0.12     9.44
 O  2.89e+06    50.50 |    0.00     0.00 |  127    0 |    0.15     0.07    -0.16     0.31
 O  2.90e+06    50.50 |   -0.10     0.44 |  127    0 |    0.04     0.04    -0.10     0.16
 O  2.92e+06    50.50 |    0.25     1.09 |  127    0 |    0.12     0.02    -0.14     0.16
 O  2.93e+06    50.50 |    0.00     0.00 |  127    0 |    0.02     0.05    -0.15     0.00
 O  2.94e+06    50.50 |    0.00     0.63 |  127    0 |    0.16    -0.10    -0.11    -0.31
 O  2.95e+06    50.50 |   -0.25     1.09 |  127    0 |    0.13    -0.15    -0.05     0.00
 O  2.97e+06    50.50 |   -0.10     0.44 |  127    0 |    0.18    -0.05    -0.11     9.78
 O  2.98e+06    50.50 |   -0.10     0.77 |  127    0 |    0.16     0.02    -0.12     9.81
 O  2.99e+06    50.50 |   -0.05     0.22 |  127    0 |    0.07     0.06    -0.11    -0.03
 O  3.00e+06    50.50 |   -0.05     0.50 |  127    0 |    0.14    -0.08    -0.11    -0.06
 O  3.01e+06    50.50 |   -0.75     2.14 |  123   17 |    0.10     0.01    -0.13     0.09
